alpha,Episodes
0.5,280.838
0.51,280.274
0.52,269.897
0.53,271.484
0.54,270.162
0.55,271.195
0.56,262.514
0.57,240.322
0.58,261.566
0.59,232.501
0.6,246.12
0.61,231.355
0.62,240.167
0.63,219.48
0.64,222.82
0.65,209.882
0.66,200.672
0.67,194.768
0.68,189.281
0.69,198.311
0.7,189.505
0.71,173.115
0.72,170.288
0.73,162.013
0.74,164.88
0.75,161.119
0.76,162.627
0.77,155.996
0.78,146.466
0.79,142.719
0.8,143.287
0.81,132.966
0.82,134.224
0.83,129.178
0.84,116.863
0.85,118.641
0.86,110.128
0.87,109.73
0.88,102.141
0.89,101.309
0.9,101.148
0.91,92.015
0.92,88.762
0.93,88.773
0.94,86.017
0.95,86.022
0.96,85.668
0.97,86.71
0.98,86.585
0.99,86.137
